name,alertInstances,nodesRunningAlert,contexts,recipients,criticalNodes,warningNodes,clearNodes,errorNodes,uniqueConfigs,classes,components,types,silencing,actions
apps_group_file_descriptors_utilization,35,1,["app.fds_open_limit"],["sysadmin"],0,0,33,0,1,["Utilization"],["Process"],["System"],-,-
10min_fifo_errors,3,1,["net.fifo"],["silent"],0,0,3,0,1,["Errors"],["Network"],["System"],-,-
10s_received_packets_storm,3,1,["net.packets"],["silent"],0,0,3,0,1,["Workload"],["Network"],["System"],-,-
1m_received_traffic_overflow,3,1,["net.net"],["silent"],0,0,3,0,1,["Workload"],["Network"],["System"],-,-
1m_sent_traffic_overflow,3,1,["net.net"],["silent"],0,0,3,0,1,["Workload"],["Network"],["System"],-,-
inbound_packets_dropped_ratio,3,1,["net.drops"],["silent"],0,0,3,0,1,["Errors"],["Network"],["System"],-,-
outbound_packets_dropped_ratio,3,1,["net.drops"],["silent"],0,0,3,0,1,["Errors"],["Network"],["System"],-,-
10min_cpu_iowait,1,1,["system.cpu"],["silent"],0,0,1,0,1,["Utilization"],["CPU"],["System"],-,-
10min_cpu_usage,1,1,["system.cpu"],["sysadmin"],0,0,1,0,1,["Utilization"],["CPU"],["System"],-,-
10min_disk_backlog,1,1,["disk.backlog"],["silent"],0,0,1,0,1,["Latency"],["Disk"],["System"],-,-
10min_disk_utilization,1,1,["disk.util"],["silent"],0,0,1,0,1,["Utilization"],["Disk"],["System"],-,-
10s_ip_tcp_resets_received,1,1,["ip.tcphandshake"],["silent"],0,0,1,0,1,["Errors"],["Network"],["System"],-,-
10s_ip_tcp_resets_sent,1,1,["ip.tcphandshake"],["silent"],0,0,1,0,1,["Errors"],["Network"],["System"],-,-
1hour_memory_hw_corrupted,1,1,["mem.hwcorrupt"],["sysadmin"],0,0,1,0,1,["Errors"],["Memory"],["System"],-,-
1m_ipv4_udp_receive_buffer_errors,1,1,["ipv4.udperrors"],["silent"],0,0,1,0,1,["Errors"],["Network"],["System"],-,-
1m_ipv4_udp_send_buffer_errors,1,1,["ipv4.udperrors"],["silent"],0,0,1,0,1,["Errors"],["Network"],["System"],-,-
1m_tcp_accept_queue_drops,1,1,["ip.tcp_accept_queue"],["silent"],0,0,1,0,1,["Workload"],["Network"],["System"],-,-
1m_tcp_accept_queue_overflows,1,1,["ip.tcp_accept_queue"],["silent"],0,0,1,0,1,["Workload"],["Network"],["System"],-,-
1m_tcp_syn_queue_cookies,1,1,["ip.tcp_syn_queue"],["silent"],0,0,1,0,1,["Workload"],["Network"],["System"],-,-
1m_tcp_syn_queue_drops,1,1,["ip.tcp_syn_queue"],["silent"],0,0,1,0,1,["Workload"],["Network"],["System"],-,-
1min_netdev_backlog_exceeded,1,1,["system.softnet_stat"],["silent"],0,0,1,0,1,["Errors"],["Network"],["System"],-,-
1min_netdev_budget_ran_outs,1,1,["system.softnet_stat"],["silent"],0,0,1,0,1,["Errors"],["Network"],["System"],-,-
20min_steal_cpu,1,1,["system.cpu"],["silent"],0,0,1,0,1,["Latency"],["CPU"],["System"],-,-
active_processes,1,1,["system.active_processes"],["sysadmin"],0,0,1,0,1,["Workload"],["Processes"],["System"],-,-
cgroup_10min_cpu_usage,1,1,["cgroup.cpu_limit"],["silent"],0,0,1,0,1,["Utilization"],["CPU"],["Cgroups"],-,-
cgroup_ram_in_use,1,1,["cgroup.mem_usage"],["silent"],0,0,1,0,1,["Utilization"],["Memory"],["Cgroups"],-,-
disk_inode_usage,1,1,["disk.inodes"],["sysadmin"],0,0,1,0,1,["Utilization"],["Disk"],["System"],-,-
disk_space_usage,1,1,["disk.space"],["sysadmin"],0,0,1,0,1,["Utilization"],["Disk"],["System"],-,-
docker_container_unhealthy,1,1,["docker.container_health_status"],["sysadmin"],0,0,1,0,1,["Errors"],["Docker"],["Containers"],-,-
load_average_1,1,1,["system.load"],["silent"],0,0,1,0,1,["Utilization"],["Load"],["System"],-,-
load_average_15,1,1,["system.load"],["silent"],0,0,1,0,1,["Utilization"],["Load"],["System"],-,-
load_average_5,1,1,["system.load"],["silent"],0,0,1,0,1,["Utilization"],["Load"],["System"],-,-
lowest_entropy,1,1,["system.entropy"],["silent"],0,0,1,0,1,["Utilization"],["Cryptography"],["System"],-,-
netfilter_conntrack_full,1,1,["netfilter.conntrack_sockets"],["sysadmin"],0,0,1,0,1,["Workload"],["Network"],["System"],-,-
plugin_data_collection_status,1,1,["netdata.plugin_data_collection_status"],["silent"],0,0,1,0,1,["Errors"],["go.d.plugin"],["Netdata"],-,-
ram_available,1,1,["mem.available"],["silent"],0,0,1,0,1,["Utilization"],["Memory"],["System"],-,-
ram_in_use,1,1,["system.ram"],["sysadmin"],0,0,1,0,1,["Utilization"],["Memory"],["System"],-,-
semaphore_arrays_used,1,1,["system.ipc_semaphore_arrays"],["sysadmin"],0,0,1,0,1,["Utilization"],["IPC"],["System"],-,-
semaphores_used,1,1,["system.ipc_semaphores"],["sysadmin"],0,0,1,0,1,["Utilization"],["IPC"],["System"],-,-
system_clock_sync_state,1,1,["system.clock_sync_state"],["silent"],0,0,1,0,1,["Errors"],["Clock"],["System"],-,-
system_file_descriptors_utilization,1,1,["system.file_nr_utilization"],["sysadmin"],0,0,1,0,1,["Utilization"],["Processes"],["System"],-,-
tcp_connections,1,1,["ip.tcpsock"],["sysadmin"],0,0,1,0,1,["Workload"],["Network"],["System"],-,-
tcp_memory,1,1,["ipv4.sockstat_tcp_mem"],["silent"],0,0,1,0,1,["Utilization"],["Network"],["System"],-,-
tcp_orphans,1,1,["ipv4.sockstat_tcp_sockets"],["silent"],0,0,1,0,1,["Errors"],["Network"],["System"],-,-
1m_ip_tcp_resets_received,1,1,["ip.tcphandshake"],["root"],0,0,0,0,1,["Errors"],["Network"],["System"],-,-
1m_ip_tcp_resets_sent,1,1,["ip.tcphandshake"],["root"],0,0,0,0,1,["Errors"],["Network"],["System"],-,-
1m_received_packets_rate,3,1,["net.packets"],["root"],0,0,0,0,1,["Workload"],["Network"],["System"],-,-
interface_speed,3,1,["net.net"],["root"],0,0,0,3,1,["Latency"],["Network"],["System"],-,-
load_cpu_number,1,1,["system.load"],["root"],0,0,0,0,1,["Utilization"],["Load"],["System"],-,-
net_interface_inbound_packets,3,1,["net.packets"],["root"],0,0,0,0,1,["Workload"],["Network"],["System"],-,-
net_interface_outbound_packets,3,1,["net.packets"],["root"],0,0,0,0,1,["Workload"],["Network"],["System"],-,-
system_reboot_detection,1,1,["system.uptime"],["silent"],0,0,0,0,1,["Errors"],["OS"],["System"],-,-
